ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,occupancy_rate,linear_price,traffic_weight,dynamic_price,competitor_price,competitive_price
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,0.10571923743500866,11.057192374350088,1.0,15.293240901213172,10.504332755632582,10.504332755632582
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,0.11091854419410745,11.109185441941074,1.0,15.396187175043329,10.553726169844019,10.553726169844019
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,0.1386481802426343,11.386481802426342,1.0,17.3948006932409,10.817157712305024,10.817157712305024
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,0.1854419410745234,11.854419410745233,1.0,18.405545927209705,11.26169844020797,11.26169844020797
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,0.25996533795493937,12.599653379549395,1.0,20.015251299826687,11.969670710571924,11.969670710571924
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,0.30675909878682844,13.067590987868286,1.0,22.778162911611783,12.41421143847487,12.41421143847487
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,0.37954939341421146,13.795493934142113,2.0,35.15285961871751,13.105719237435007,13.105719237435007
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,0.42807625649913345,14.280762564991335,1.0,29.5580589254766,13.566724436741767,13.566724436741767
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,0.4488734835355286,14.488734835355286,1.0,30.11958405545927,13.764298093587522,13.764298093587522
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,0.4610051993067591,14.610051993067593,2.0,42.625996533795494,13.879549393414212,13.879549393414212
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,0.4662045060658579,14.66204506065858,2.0,40.44350086655113,13.92894280762565,13.92894280762565
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,0.4558058925476603,14.558058925476603,2.0,40.072270363951475,13.830155979202772,13.830155979202772
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,0.4124783362218371,14.124783362218372,2.0,33.99306759098786,13.418544194107453,13.418544194107453
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016,14:29:00,0.37261698440207974,13.726169844020797,1.0,24.319237435008667,13.039861351819756,13.039861351819756
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,04-10-2016,14:57:00,0.3327556325823224,13.327556325823224,1.0,23.386481802426342,12.661178509532062,12.661178509532062
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,04-10-2016,15:30:00,0.28596187175043325,12.859618717504333,1.0,20.576776429809357,12.216637781629116,12.216637781629116
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,04-10-2016,16:04:00,0.2807625649913345,12.807625649913346,1.0,18.759098786828428,12.167244367417679,12.167244367417679
